100 Percent Fed Up,100percentfedup.com,questionable,,bias,,,,
16 WMPO,16wmpo.com,satire,imposter site,fake,,,,"Scottsdale, Ariz. **"
OneEighty,180report.com,least_biased,,,,,,
21stcenturywire,21stcenturywire.com,,,conspiracy,,,,
247newsmedia,247newsmedia.com,,fake news,,,,,"Kumanovo, Macedonia"
24newsflash,24newsflash.com,,,fake,,,,
24online.news,24online.news,,imposter site,,,,,"Panama, Pa. **"
24wpn,24wpn.com,,fake news,fake, ,,,"Veles, Macedonia"
WorldPolitics News,24wpn.com,questionable,,,,,,
365usanews,365usanews.com,,,bias,conspiracy,,,
369News,369news.net,pseudoscience,,,,,,
4threvolutionarywar.wordpress,4threvolutionarywar.wordpress.com,,,bias,conspiracy,,,
70 News,70news.wordpress.com,questionable,,,,,,
70news.wordpress,70news.wordpress.com,,,fake,,,,
82.221.129.208,82.221.129.208,,,conspiracy,fake,, ,
9 News (Australia),9news.com.au,right_center,,,,,,
American Association for the Advancement of Science (AAAS),aaas.org,pro_science,,,,,,
aanirfan.blogspot,aanirfan.blogspot.co.uk,,,unreliable,,,0,
Americans Against the Tea Party (AATTP),aattp.org,questionable,,,,,,
ABC News Australia,abc.net.au,least_biased,,,,,,
ABC News,abcnews.go.com,left_center,,,,,,
ABC News Co,abcnews.com.co,,imposter site,fake,,,,"Phoenix, Ariz."
abcnewsgo,abcnewsgo.co,,,fake,,,,
Abel Danger,abeldanger.net,pseudoscience,,conspiracy,,,,
Above the Law,abovethelaw.com,left_center,,,,,,
Above Top Secret,abovetopsecret.com,pseudoscience,,conspiracy,rumor,,,
Albuquerque Journal,abqjournal.com,least_biased,,,,,,
Abril Uno,abriluno.com,satire,,satire,fake,,,
Ace Flashman,aceflashman.wordpress.com,satire,,,,,,
aceflashman.wordpress,aceflashman.wordpress.com,,,satire,,,,
American Civil Liberties Union (ACLU),aclu.org,left_center,,,,,,
American College of Pediatricians,acpeds.org,questionable,,,,,,
American Council on Science and Health,acsh.org,right_center,,,,,,
Acting Man,acting-man.com,right,,unreliable,conspiracy,,publishes articles denying climate change,
Activist Post,activistpost.com,pseudoscience,,conspiracy,,,,
actualidadpanamericana,actualidadpanamericana.com,,parody site,satire,,,,"Scottsdale, Ariz. **"
Anxiety and Depression Association of America (ADAA),adaa.org,pro_science,,,,,,
Addicting Info,addictinginfo.org,left,,clickbait,unreliable,,,
Anti-Defamation League,adl.org,left_center,,,,,,
Alaska Dispatch News,adn.com,left_center,,,,,,
Adobo Chronicles,adobochronicles.com,satire,,satire,,,,
Advocate,advocate.com,left,,political,reliable,,,
American Enterprise Institute,aei.org,right,,,,,,
Aeon,aeon.co,left_center,,,,,,
American Family Association,afa.net,questionable,,,,,,
AFP (Agence France Presse),afp.com,least_biased,,,,,,
American Foreign Policy Council,afpc.org,right_center,,,,,,
Africa News,africanews.com,least_biased,,,,,,
Age of Autism,ageofautism.com,pseudoscience,,,,,,
Age of Shitlords,ageofshitlords.com,questionable,,,,,,
Agerpres,agerpres.ro,least_biased,,,,,,
aheadoftheherd,aheadoftheherd.com,,,bias,,,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals",
ahtribune,ahtribune.com,,,unreliable,bias,,,
American Herald Tribune,ahtribune.com,left_center,,,,,,
Amandla,aidc.org.za,left,,,,,,
Accuracy in Media (AIM),aim.org,right,,,,,,
Air & Space Magazine,airspacemag.com,pro_science,,,,,,
American Journal of Archaeology,ajaonline.org,pro_science,,,,,,
